Fichero Partido,Género Partido,Fase Partido,ID Partido,Ronda Partido,Flag Exento Partido,Torneo,Tipo Torneo
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_5,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_6,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_7,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_8,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_9,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_10,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_11,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_12,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_13,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_14,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_15,Pre Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_16,Pre Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_17,Pre Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_18,Pre Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_19,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_20,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_21,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_22,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_23,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_24,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_25,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_26,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_27,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_28,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_29,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_30,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_31,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_32,Pre Previa Ronda 1,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_33,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_34,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
